,stamp,lon,lat,speed
309,2021-11-07 16:03:42.385,,,
310,2021-11-07 16:03:42.627,,,
311,2021-11-07 16:03:42.858,,,
312,2021-11-07 16:03:43.100,,,
313,2021-11-07 16:03:43.342,,,
314,2021-11-07 16:03:43.584,,,
315,2021-11-07 16:03:43.825,,,
316,2021-11-07 16:03:44.067,,,
317,2021-11-07 16:03:44.299,,,
318,2021-11-07 16:03:44.541,,,
319,2021-11-07 16:03:44.782,,,
320,2021-11-07 16:03:45.024,,,
321,2021-11-07 16:03:45.266,,,
322,2021-11-07 16:03:45.508,,,
323,2021-11-07 16:03:45.739,,,
324,2021-11-07 16:03:45.991,,,
325,2021-11-07 16:03:46.223,,,
326,2021-11-07 16:03:46.464,,,
327,2021-11-07 16:03:46.706,,,
328,2021-11-07 16:03:46.938,,,
329,2021-11-07 16:03:47.180,,,
330,2021-11-07 16:03:47.421,,,
331,2021-11-07 16:03:47.663,,,
332,2021-11-07 16:03:47.905,,,
333,2021-11-07 16:03:48.147,,,
334,2021-11-07 16:03:48.378,,,
335,2021-11-07 16:03:48.620,,,
336,2021-11-07 16:03:48.862,,,
337,2021-11-07 16:03:49.104,,,
338,2021-11-07 16:03:49.345,,,
339,2021-11-07 16:03:49.587,,,
340,2021-11-07 16:03:49.819,,,
341,2021-11-07 16:03:50.060,,,
342,2021-11-07 16:03:50.302,,,
343,2021-11-07 16:03:50.544,,,
344,2021-11-07 16:03:50.786,,,
345,2021-11-07 16:03:51.027,,,
346,2021-11-07 16:03:51.259,,,
347,2021-11-07 16:03:51.501,,,
348,2021-11-07 16:03:51.743,,,
349,2021-11-07 16:03:51.984,,,
350,2021-11-07 16:03:52.226,,,
351,2021-11-07 16:03:52.468,,,
352,2021-11-07 16:03:52.700,,,
353,2021-11-07 16:03:52.941,,,
354,2021-11-07 16:03:53.183,,,
355,2021-11-07 16:03:53.425,,,
356,2021-11-07 16:03:53.667,,,
357,2021-11-07 16:03:53.908,,,
358,2021-11-07 16:03:54.140,,,
359,2021-11-07 16:03:54.382,,,
360,2021-11-07 16:03:54.623,,,
361,2021-11-07 16:03:54.865,,,
362,2021-11-07 16:03:55.107,,,
363,2021-11-07 16:03:55.339,,,
364,2021-11-07 16:03:55.580,,,
365,2021-11-07 16:03:55.822,,,
366,2021-11-07 16:03:56.064,,,
367,2021-11-07 16:03:56.306,,,
368,2021-11-07 16:03:56.547,,,
369,2021-11-07 16:03:56.779,,,
370,2021-11-07 16:03:57.021,,,
371,2021-11-07 16:03:57.263,,,
372,2021-11-07 16:03:57.504,,,
373,2021-11-07 16:03:57.746,,,
374,2021-11-07 16:03:57.988,,,
375,2021-11-07 16:03:58.219,,,
376,2021-11-07 16:03:58.461,,,
377,2021-11-07 16:03:58.703,,,
378,2021-11-07 16:03:58.945,,,
379,2021-11-07 16:03:59.186,,,
380,2021-11-07 16:03:59.428,,,
381,2021-11-07 16:03:59.660,,,
382,2021-11-07 16:03:59.902,,,
383,2021-11-07 16:04:00.385,,,
384,2021-11-07 16:04:00.627,,,
385,2021-11-07 16:04:00.859,,,
386,2021-11-07 16:04:01.100,,,
387,2021-11-07 16:04:01.342,,,
388,2021-11-07 16:04:01.584,,,
389,2021-11-07 16:04:01.826,,,
390,2021-11-07 16:04:02.067,,,
391,2021-11-07 16:04:02.299,,,
392,2021-11-07 16:04:02.541,,,
393,2021-11-07 16:04:02.782,,,
394,2021-11-07 16:04:03.024,,,
395,2021-11-07 16:04:03.266,,,
396,2021-11-07 16:04:03.508,,,
397,2021-11-07 16:04:03.739,,,
398,2021-11-07 16:04:03.991,,,
399,2021-11-07 16:04:04.223,,,
400,2021-11-07 16:04:04.465,,,
401,2021-11-07 16:04:04.706,,,
402,2021-11-07 16:04:04.948,,,
403,2021-11-07 16:04:05.180,,,
404,2021-11-07 16:04:05.422,,,
405,2021-11-07 16:04:05.663,,,
406,2021-11-07 16:04:05.905,,,
407,2021-11-07 16:04:06.147,,,
408,2021-11-07 16:04:06.378,,,
409,2021-11-07 16:04:06.620,,,
410,2021-11-07 16:04:06.862,,,
411,2021-11-07 16:04:07.104,,,
412,2021-11-07 16:04:07.345,,,
413,2021-11-07 16:04:07.587,,,
414,2021-11-07 16:04:07.829,,,
415,2021-11-07 16:04:08.061,,,
416,2021-11-07 16:04:08.302,,,
417,2021-11-07 16:04:08.544,,,
418,2021-11-07 16:04:08.786,,,
419,2021-11-07 16:04:09.028,,,
420,2021-11-07 16:04:09.269,,,
421,2021-11-07 16:04:09.501,,,
422,2021-11-07 16:04:09.743,,,
423,2021-11-07 16:04:09.995,,,
424,2021-11-07 16:04:10.226,,,
425,2021-11-07 16:04:10.468,,,
426,2021-11-07 16:04:10.700,,,
427,2021-11-07 16:04:10.941,,,
428,2021-11-07 16:04:11.183,,,
429,2021-11-07 16:04:11.425,,,
430,2021-11-07 16:04:11.667,,,
431,2021-11-07 16:04:11.908,,,
432,2021-11-07 16:04:12.140,,,
433,2021-11-07 16:04:12.382,,,
434,2021-11-07 16:04:12.624,,,
435,2021-11-07 16:04:12.865,,,
436,2021-11-07 16:04:13.107,,,
437,2021-11-07 16:04:13.349,,,
438,2021-11-07 16:04:13.581,,,
439,2021-11-07 16:04:13.822,,,
440,2021-11-07 16:04:14.064,,,
441,2021-11-07 16:04:14.306,,,
442,2021-11-07 16:04:14.548,,,
443,2021-11-07 16:04:14.789,,,
444,2021-11-07 16:04:15.021,,,
445,2021-11-07 16:04:15.263,,,
446,2021-11-07 16:04:15.504,,,
447,2021-11-07 16:04:15.746,,,
448,2021-11-07 16:04:15.988,,,
449,2021-11-07 16:04:16.220,,,
450,2021-11-07 16:04:16.461,,,
451,2021-11-07 16:04:16.703,,,
452,2021-11-07 16:04:16.945,,,
453,2021-11-07 16:04:17.187,,,
454,2021-11-07 16:04:17.428,,,
455,2021-11-07 16:04:17.660,,,
456,2021-11-07 16:04:17.902,,,
457,2021-11-07 16:04:18.144,,,
458,2021-11-07 16:04:18.385,,,
459,2021-11-07 16:04:18.627,,,
460,2021-11-07 16:04:18.869,,,
461,2021-11-07 16:04:19.100,,,
462,2021-11-07 16:04:19.342,,,
463,2021-11-07 16:04:19.584,,,
464,2021-11-07 16:04:19.826,,,
465,2021-11-07 16:04:20.067,,,
466,2021-11-07 16:04:20.309,,,
467,2021-11-07 16:04:20.541,,,
468,2021-11-07 16:04:20.783,,,
469,2021-11-07 16:04:21.024,,,
470,2021-11-07 16:04:21.266,,,
471,2021-11-07 16:04:21.508,,,
472,2021-11-07 16:04:21.750,,,
473,2021-11-07 16:04:21.991,,,
474,2021-11-07 16:04:22.223,,,
475,2021-11-07 16:04:22.465,,,
476,2021-11-07 16:04:22.707,,,
477,2021-11-07 16:04:22.948,,,
478,2021-11-07 16:04:23.190,,,
479,2021-11-07 16:04:23.422,,,
480,2021-11-07 16:04:23.663,,,
481,2021-11-07 16:04:23.905,,,
482,2021-11-07 16:04:24.147,,,
483,2021-11-07 16:04:24.389,,,
484,2021-11-07 16:04:24.620,,,
485,2021-11-07 16:04:24.862,,,
486,2021-11-07 16:04:25.104,,,
487,2021-11-07 16:04:25.346,,,
488,2021-11-07 16:04:25.587,,,
489,2021-11-07 16:04:25.829,,,
490,2021-11-07 16:04:26.061,,,
491,2021-11-07 16:04:26.303,,,
492,2021-11-07 16:04:26.544,,,
493,2021-11-07 16:04:26.786,,,
494,2021-11-07 16:04:27.028,,,
495,2021-11-07 16:04:27.270,,,
496,2021-11-07 16:04:27.501,,,
497,2021-11-07 16:04:27.743,,,
498,2021-11-07 16:04:27.995,,,
499,2021-11-07 16:04:28.226,,,
500,2021-11-07 16:04:28.468,,,
501,2021-11-07 16:04:28.710,,,
502,2021-11-07 16:04:28.942,,,
503,2021-11-07 16:04:29.183,,,
504,2021-11-07 16:04:29.425,,,
505,2021-11-07 16:04:29.667,,,
506,2021-11-07 16:04:29.909,,,
507,2021-11-07 16:04:30.150,,,
508,2021-11-07 16:04:30.382,,,
509,2021-11-07 16:04:30.624,,,
510,2021-11-07 16:04:30.866,,,
511,2021-11-07 16:04:31.107,,,
512,2021-11-07 16:04:31.349,,,
513,2021-11-07 16:04:31.581,,,
514,2021-11-07 16:04:31.822,,,
515,2021-11-07 16:04:32.064,,,
516,2021-11-07 16:04:32.306,,,
517,2021-11-07 16:04:32.548,,,
518,2021-11-07 16:04:32.789,,,
519,2021-11-07 16:04:33.031,,,
520,2021-11-07 16:04:33.263,,,
521,2021-11-07 16:04:33.505,,,
522,2021-11-07 16:04:33.746,,,
523,2021-11-07 16:04:33.988,,,
524,2021-11-07 16:04:34.230,,,
525,2021-11-07 16:04:34.462,,,
526,2021-11-07 16:04:34.703,,,
527,2021-11-07 16:04:34.945,,,
528,2021-11-07 16:04:35.187,,,
529,2021-11-07 16:04:35.429,,,
530,2021-11-07 16:04:35.660,,,
531,2021-11-07 16:04:35.902,,,
532,2021-11-07 16:04:36.144,,,
533,2021-11-07 16:04:36.385,,,
534,2021-11-07 16:04:36.627,,,
535,2021-11-07 16:04:36.869,,,
536,2021-11-07 16:04:37.111,,,
537,2021-11-07 16:04:37.342,,,
538,2021-11-07 16:04:37.584,,,
539,2021-11-07 16:04:37.826,,,
540,2021-11-07 16:04:38.068,,,
541,2021-11-07 16:04:38.309,,,
542,2021-11-07 16:04:38.551,,,
543,2021-11-07 16:04:38.783,,,
544,2021-11-07 16:04:39.035,,,
545,2021-11-07 16:04:39.266,,,
546,2021-11-07 16:04:39.508,,,
547,2021-11-07 16:04:39.750,,,
548,2021-11-07 16:04:39.992,,,
549,2021-11-07 16:04:40.223,,,
550,2021-11-07 16:04:40.465,,,
551,2021-11-07 16:04:40.707,,,
552,2021-11-07 16:04:40.948,,,
553,2021-11-07 16:04:41.190,,,
554,2021-11-07 16:04:41.422,,,
555,2021-11-07 16:04:41.664,,,
556,2021-11-07 16:04:41.905,,,
557,2021-11-07 16:04:42.147,,,
558,2021-11-07 16:04:42.389,,,
559,2021-11-07 16:04:42.631,,,
560,2021-11-07 16:04:42.862,,,
561,2021-11-07 16:04:43.104,,,
562,2021-11-07 16:04:43.346,,,
563,2021-11-07 16:04:43.588,,,
564,2021-11-07 16:04:43.829,,,
565,2021-11-07 16:04:44.071,,,
566,2021-11-07 16:04:44.303,,,
567,2021-11-07 16:04:44.544,,,
568,2021-11-07 16:04:44.786,,,
569,2021-11-07 16:04:45.028,,,
570,2021-11-07 16:04:45.270,,,
571,2021-11-07 16:04:45.511,,,
572,2021-11-07 16:04:45.743,,,
573,2021-11-07 16:04:45.995,,,
574,2021-11-07 16:04:46.227,,,
575,2021-11-07 16:04:46.468,,,
576,2021-11-07 16:04:46.710,,,
577,2021-11-07 16:04:46.942,,,
578,2021-11-07 16:04:47.184,,,
579,2021-11-07 16:04:47.425,,,
580,2021-11-07 16:04:47.667,,,
581,2021-11-07 16:04:47.909,,,
582,2021-11-07 16:04:48.151,,,
583,2021-11-07 16:04:48.382,,,
584,2021-11-07 16:04:48.624,,,
585,2021-11-07 16:04:48.866,,,
586,2021-11-07 16:04:49.107,,,
587,2021-11-07 16:04:49.349,,,
588,2021-11-07 16:04:49.591,,,
589,2021-11-07 16:04:49.823,,,
590,2021-11-07 16:04:50.064,,,
591,2021-11-07 16:04:50.306,,,
592,2021-11-07 16:04:50.548,,,
593,2021-11-07 16:04:50.790,,,
594,2021-11-07 16:04:51.021,,,
595,2021-11-07 16:04:51.263,,,
596,2021-11-07 16:04:51.505,,,
597,2021-11-07 16:04:51.747,,,
598,2021-11-07 16:04:51.988,,,
599,2021-11-07 16:04:52.230,,,
600,2021-11-07 16:04:52.462,,,
601,2021-11-07 16:04:52.703,,,
602,2021-11-07 16:04:52.945,,,
603,2021-11-07 16:04:53.187,,,
604,2021-11-07 16:04:53.429,,,
605,2021-11-07 16:04:53.670,,,
606,2021-11-07 16:04:53.902,,,
607,2021-11-07 16:04:54.144,,,
608,2021-11-07 16:04:54.386,,,
609,2021-11-07 16:04:54.627,,,
610,2021-11-07 16:04:54.869,,,
611,2021-11-07 16:04:55.111,,,
612,2021-11-07 16:04:55.343,,,
613,2021-11-07 16:04:55.584,,,
614,2021-11-07 16:04:55.826,,,
615,2021-11-07 16:04:56.068,,,
616,2021-11-07 16:04:56.310,,,
617,2021-11-07 16:04:56.551,,,
618,2021-11-07 16:04:56.783,,,
619,2021-11-07 16:04:57.025,,,
620,2021-11-07 16:04:57.266,,,
621,2021-11-07 16:04:57.508,,,
622,2021-11-07 16:04:57.750,,,
623,2021-11-07 16:04:57.992,,,
624,2021-11-07 16:04:58.223,,,
625,2021-11-07 16:04:58.465,,,
626,2021-11-07 16:04:58.707,,,
627,2021-11-07 16:04:58.949,,,
628,2021-11-07 16:04:59.190,,,
629,2021-11-07 16:04:59.422,,,
630,2021-11-07 16:04:59.664,,,
631,2021-11-07 16:04:59.906,,,
632,2021-11-07 16:05:00.147,,,
633,2021-11-07 16:05:00.389,,,
634,2021-11-07 16:05:00.631,,,
635,2021-11-07 16:05:00.862,,,
636,2021-11-07 16:05:01.104,,,
637,2021-11-07 16:05:01.346,,,
638,2021-11-07 16:05:01.588,,,
639,2021-11-07 16:05:01.829,,,
640,2021-11-07 16:05:02.071,,,
641,2021-11-07 16:05:02.303,,,
642,2021-11-07 16:05:02.545,,,
643,2021-11-07 16:05:02.786,,,
644,2021-11-07 16:05:03.028,,,
645,2021-11-07 16:05:03.270,,,
646,2021-11-07 16:05:03.512,,,
647,2021-11-07 16:05:03.743,,,
648,2021-11-07 16:05:04.227,,,
649,2021-11-07 16:05:04.469,,,
650,2021-11-07 16:05:04.710,,,
651,2021-11-07 16:05:04.942,,,
652,2021-11-07 16:05:05.184,,,
653,2021-11-07 16:05:05.425,,,
654,2021-11-07 16:05:05.667,,,
655,2021-11-07 16:05:05.909,,,
656,2021-11-07 16:05:06.151,,,
657,2021-11-07 16:05:06.382,,,
658,2021-11-07 16:05:06.624,,,
659,2021-11-07 16:05:06.866,,,
660,2021-11-07 16:05:07.108,,,
661,2021-11-07 16:05:07.349,,,
662,2021-11-07 16:05:07.591,,,
663,2021-11-07 16:05:07.823,,,
664,2021-11-07 16:05:08.065,,,
665,2021-11-07 16:05:08.306,,,
666,2021-11-07 16:05:08.548,,,
667,2021-11-07 16:05:08.790,,,
668,2021-11-07 16:05:09.032,,,
669,2021-11-07 16:05:09.263,,,
670,2021-11-07 16:05:09.505,,,
671,2021-11-07 16:05:09.747,,,
672,2021-11-07 16:05:09.988,,,
673,2021-11-07 16:05:10.230,,,
674,2021-11-07 16:05:10.462,,,
675,2021-11-07 16:05:10.704,,,
676,2021-11-07 16:05:10.945,,,
677,2021-11-07 16:05:11.187,,,
678,2021-11-07 16:05:11.429,,,
679,2021-11-07 16:05:11.671,,,
680,2021-11-07 16:05:11.902,,,
681,2021-11-07 16:05:12.144,,,
682,2021-11-07 16:05:12.386,,,
683,2021-11-07 16:05:12.628,,,
684,2021-11-07 16:05:12.869,,,
685,2021-11-07 16:05:13.111,,,
686,2021-11-07 16:05:13.343,,,
687,2021-11-07 16:05:13.584,,,
688,2021-11-07 16:05:13.826,,,
689,2021-11-07 16:05:14.068,,,
690,2021-11-07 16:05:14.310,,,
691,2021-11-07 16:05:14.541,,,
692,2021-11-07 16:05:14.783,,,
693,2021-11-07 16:05:15.025,,,
694,2021-11-07 16:05:15.267,,,
695,2021-11-07 16:05:15.508,,,
696,2021-11-07 16:05:15.750,,,
